City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
599,San Juan De Los Morros,VE,9.9115,-67.3538,74.39,71,66,3.85,broken clouds
600,Huarmey,PE,-10.0681,-78.1522,71.11,82,100,8.9,overcast clouds
601,Iracoubo,GF,5.4802,-53.2011,77.2,87,94,8.77,overcast clouds
602,Hillsborough,US,37.5741,-122.3794,62.83,93,100,20.71,mist
603,Belyy Yar,RU,53.6039,91.3903,-4.11,100,100,2.24,light snow
604,Rondonopolis,BR,-16.4708,-54.6356,75.22,89,96,3.49,overcast clouds
605,Iskateley,RU,67.6803,53.1512,1.33,90,98,11.54,overcast clouds
606,Dangriga,BZ,16.9692,-88.2321,77.16,82,4,6.62,clear sky
607,Tahta,EG,26.7693,31.5021,55.87,74,0,7.31,clear sky
608,Pimenta Bueno,BR,-11.6725,-61.1936,73.08,98,99,3.38,overcast clouds
609,Sao Joaquim,BR,-28.2939,-49.9317,56.68,95,63,2.82,broken clouds
610,Talcahuano,CL,-36.7167,-73.1167,62.28,77,0,9.22,clear sky
611,Tabou,CI,4.423,-7.3528,78.89,84,27,2.73,scattered clouds
612,Kurchum,KZ,48.5722,83.6542,13.19,96,100,3.36,overcast clouds
613,Kaspiysk,RU,42.8816,47.6392,33.98,80,8,11.18,clear sky
614,Elat,IL,29.5581,34.9482,55.24,71,0,6.91,clear sky
615,Sept-Iles,CA,50.2001,-66.3821,30.2,98,100,5.75,mist
616,Krasnoarmeysk,RU,51.0239,45.6969,32.31,96,100,7.99,overcast clouds
617,Ostersund,SE,63.1792,14.6357,34.25,93,100,20.71,overcast clouds
618,Buenos Aires,AR,-34.6132,-58.3772,93.09,49,2,3.44,clear sky
619,Thunder Bay,CA,48.4001,-89.3168,21.18,73,75,10.36,broken clouds
620,Kulhudhuffushi,MV,6.6221,73.07,80.06,73,65,11.03,broken clouds
621,Chimbarongo,CL,-34.7,-71.05,79.68,46,47,4.9,scattered clouds
622,Ambilobe,MG,-13.2,49.05,72.48,91,83,2.66,broken clouds
623,Buarcos,PT,40.166,-8.8768,60.67,85,100,18.5,overcast clouds
624,Menongue,AO,-14.6585,17.691,66.72,73,98,3.02,overcast clouds
625,Pelym,RU,61.0108,61.9978,-9.11,99,100,3.18,overcast clouds
626,Bichena,ET,10.45,38.2,54.64,64,90,2.91,overcast clouds
627,Kargasok,RU,59.0556,80.8572,-19.88,100,90,1.99,overcast clouds
628,Ciudad Guayana,VE,8.3533,-62.6528,77.52,91,43,6.02,scattered clouds
629,Ondjiva,AO,-17.0667,15.7333,69.19,83,100,3.56,light rain
630,Amapa,BR,1.0,-52.0,71.89,98,100,1.95,overcast clouds
631,Junagarh,IN,19.8667,82.9333,59.38,48,5,2.33,clear sky
632,Marsh Harbour,BS,26.5412,-77.0636,75.47,84,11,8.95,few clouds
633,Liverpool,GB,53.4106,-2.9779,48.74,88,75,9.22,broken clouds
634,Qunduz,AF,36.729,68.857,40.19,81,5,1.95,clear sky
635,Georgiyevskoye,RU,58.731,45.024,22.8,95,100,10.02,light snow
